"","id","year","active_year","date_prec","date_start","date_end","event_prec","conflict_id","conflict_name","side_a_id","side_a_name","side_b_id","side_b_name","location_prec","latitude","longitude","deaths_side_a","deaths_side_b","deaths_civilians","deaths_unknown","deaths_total","deaths_high","deaths_low"
"1","71686",1989,TRUE,"5",1989-01-01,1989-12-31,"2",221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","6",22,98,0,0,0,3,3,0,0
"2","48756",1989,TRUE,"5",1989-02-18,1989-04-18,"2",221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","4",17.5,97.75,123,21,0,0,144,315,144
"3","50009",1989,TRUE,"1",1989-02-22,1989-02-22,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","1",16.686389,98.506111,0,0,5,0,5,5,5
"4","49974",1989,TRUE,"2",1989-03-23,1989-03-26,"2",221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","6",22,98,38,0,0,74,112,112,112
"5","48758",1989,TRUE,"2",1989-04-12,1989-04-16,"2",221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","4",17.5,97.75,0,9,0,0,9,33,9
"6","48759",1989,TRUE,"2",1989-04-15,1989-04-18,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","4",17.5,97.75,0,10,0,0,10,10,10
"7","50013",1989,TRUE,"1",1989-04-27,1989-04-27,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","1",16.686389,98.506111,2,0,5,0,7,12,7
"8","51354",1989,TRUE,"1",1989-05-07,1989-05-07,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","2",16.796917,98.515339,0,7,0,0,7,7,7
"9","50016",1989,TRUE,"2",1989-05-08,1989-05-13,"2",221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","1",16.686389,98.506111,0,0,0,50,50,50,50
"10","48761",1989,TRUE,"1",1989-05-16,1989-05-16,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","4",17.5,97.75,35,4,1,0,40,79,40
"11","51355",1989,TRUE,"1",1989-05-18,1989-05-18,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","1",16.796917,98.515339,40,7,0,0,47,47,47
"12","50997",1989,TRUE,"1",1989-05-20,1989-05-20,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","1",16.796917,98.515339,0,0,0,1,1,1,1
"13","51356",1989,TRUE,"1",1989-05-21,1989-05-21,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","1",16.796917,98.515339,0,0,0,46,46,100,46
"14","51358",1989,TRUE,"1",1989-05-27,1989-05-27,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","1",16.796917,98.515339,40,4,0,0,44,44,44
"15","51338",1989,TRUE,"1",1989-05-30,1989-05-30,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","1",16.796917,98.515339,0,1,0,0,1,1,1
"16","49210",1989,TRUE,"1",1989-06-06,1989-06-06,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","1",17.836972,97.678028,0,0,0,1,1,1,1
"17","48755",1989,TRUE,"1",1989-06-12,1989-06-12,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","4",17.5,97.75,20,1,0,0,21,21,21
"18","50723",1989,TRUE,"1",1989-07-11,1989-07-11,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","1",16.79845,96.150408,0,0,0,3,3,3,3
"19","51362",1989,TRUE,"2",1989-07-22,1989-07-23,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","1",16.796917,98.515339,12,2,0,0,14,44,14
"20","50014",1989,TRUE,"1",1989-07-30,1989-07-30,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","2",16.686389,98.506111,0,0,0,13,13,13,13
"21","50548",1989,TRUE,"1",1989-11-20,1989-11-20,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","5",14.705158,98.331783,0,0,0,1,1,1,1
"22","50902",1989,TRUE,"2",1989-12-01,1989-12-04,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","3",17.7,97.7,0,3,0,0,3,3,3
"23","48757",1989,TRUE,"2",1989-12-26,1989-12-29,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","4",17.5,97.75,200,20,0,0,220,255,32
"24","48754",1989,TRUE,"1",1989-12-26,1989-12-26,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","4",17.5,97.75,0,1,0,0,1,1,1
"25","49343",1989,TRUE,"1",1989-02-21,1989-02-21,NA,231,"Myanmar (Burma): Kachin",144,"Government of Myanmar (Burma)",201,"KIO","1",24.783333,96.366667,0,0,0,5,5,5,5
"26","49542",1989,TRUE,"1",1989-03-04,1989-03-04,NA,231,"Myanmar (Burma): Kachin",144,"Government of Myanmar (Burma)",201,"KIO","6",22,98,36,0,0,0,36,36,36
"27","49543",1989,TRUE,"5",1989-03-31,1989-12-31,"2",231,"Myanmar (Burma): Kachin",144,"Government of Myanmar (Burma)",201,"KIO","6",22,98,0,146,0,0,146,146,146
"28","49884",1989,TRUE,"2",1989-07-23,1989-07-27,"2",231,"Myanmar (Burma): Kachin",144,"Government of Myanmar (Burma)",201,"KIO","6",22,98,2,5,0,0,7,7,7
"29","49324",1989,FALSE,"1",1989-07-05,1989-07-05,NA,253,"Myanmar (Burma): Karenni",144,"Government of Myanmar (Burma)",225,"KNPP","1",18.640867,97.654406,4,6,0,0,10,10,10
"30","48732",1989,FALSE,"1",1989-07-09,1989-07-09,NA,253,"Myanmar (Burma): Karenni",144,"Government of Myanmar (Burma)",225,"KNPP","4",19.25,97.5,2,0,0,0,2,2,2
"31","49851",1989,FALSE,"1",1989-07-09,1989-07-09,NA,253,"Myanmar (Burma): Karenni",144,"Government of Myanmar (Burma)",225,"KNPP","6",22,98,0,6,0,0,6,6,6
"32","51232",1989,FALSE,"1",1989-06-08,1989-06-08,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",26,97.5,0,0,8,0,8,8,8
"33","50721",1989,FALSE,"1",1989-06-21,1989-06-21,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","1",16.79845,96.150408,0,0,1,0,1,1,1
"34","49998",1990,TRUE,"1",1990-01-15,1990-01-15,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","1",16.686389,98.506111,1,0,0,0,1,2,1
"35","50637",1990,TRUE,"1",1990-01-15,1990-01-15,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","2",16.692983,98.401939,1,0,0,0,1,1,1
"36","48896",1990,TRUE,"2",1990-01-15,1990-01-18,"2",221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","4",17.5,97.75,0,0,0,100,100,100,100
"37","48904",1990,TRUE,"1",1990-01-25,1990-01-25,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","4",17.5,97.75,1,8,0,0,9,9,9
"38","49816",1990,TRUE,"1",1990-01-29,1990-01-29,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","6",22,98,15,5,0,0,20,20,20
"39","48903",1990,TRUE,"4",1990-02-08,1990-02-16,"2",221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","4",17.5,97.75,5,32,0,0,37,60,37
"40","51364",1990,TRUE,"1",1990-02-09,1990-02-09,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","1",16.796917,98.515339,8,0,0,0,8,8,8
"41","49806",1990,TRUE,"1",1990-03-01,1990-03-01,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","6",22,98,14,0,0,0,14,14,14
"42","49223",1990,TRUE,"1",1990-04-07,1990-04-07,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","2",17.836972,97.678028,0,2,0,0,2,2,2
"43","49222",1990,TRUE,"2",1990-04-08,1990-04-12,"2",221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","2",17.836972,97.678028,170,0,0,0,170,170,170
"44","50628",1990,TRUE,"1",1990-05-05,1990-05-05,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","3",17.1325,97.274696,3,2,1,0,6,6,6
"45","50000",1990,TRUE,"1",1990-09-05,1990-09-05,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","2",16.686389,98.506111,2,0,0,0,2,2,2
"46","48767",1990,TRUE,"1",1990-09-14,1990-09-14,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","4",17.5,97.75,0,4,0,0,4,4,4
"47","71692",1990,TRUE,"5",1990-01-01,1990-12-31,"2",222,"Myanmar (Burma): Government",144,"Government of Myanmar (Burma)",185,"ABSDF","6",22,98,0,0,0,25,25,25,25
"48","50650",1990,TRUE,"4",1990-01-30,1990-02-13,"2",224,"Myanmar (Burma): Mon",144,"Government of Myanmar (Burma)",190,"NMSP","1",15.301667,98.401944,20,20,2,0,42,42,42
"49","50651",1990,TRUE,"2",1990-02-09,1990-02-10,"2",224,"Myanmar (Burma): Mon",144,"Government of Myanmar (Burma)",190,"NMSP","1",15.301667,98.401944,0,20,0,0,20,20,20
"50","50728",1990,TRUE,"1",1990-03-22,1990-03-22,NA,224,"Myanmar (Burma): Mon",144,"Government of Myanmar (Burma)",190,"NMSP","1",15.249117,97.856653,4,3,0,43,50,50,50
"51","71682",1990,TRUE,"5",1990-01-01,1990-12-31,"2",231,"Myanmar (Burma): Kachin",144,"Government of Myanmar (Burma)",201,"KIO","6",22,98,0,0,0,19,19,19,19
