"country","division_(yin)","district_(kayaing)","village|township","area_sq_km"
"MMR","Ayeyarwady","Bassein","Bassein West",1645.34927134338
"MMR","Ayeyarwady","Bassein","Kyaunggon",370.92555037993
"MMR","Ayeyarwady","Bassein","Kyonpyaw",1086.20969642149
"MMR","Ayeyarwady","Bassein","Ngaputaw",4099.9394645595
"MMR","Ayeyarwady","Bassein","Thabaung",1794.91506035887
"MMR","Ayeyarwady","Bassein","Yegyi",727.189711593233
"MMR","Ayeyarwady","Hinthada","Danubyu",582.705505539035
"MMR","Ayeyarwady","Hinthada","Henzada",732.367988664682
"MMR","Ayeyarwady","Hinthada","Ingapu",1760.8738070661
"MMR","Ayeyarwady","Hinthada","Kyangin",868.982543546334
"MMR","Ayeyarwady","Hinthada","Lemyethna",1020.95627597001
"MMR","Ayeyarwady","Hinthada","Myanaung",1585.00289963446
"MMR","Ayeyarwady","Hinthada","Zalun",526.301634211949
"MMR","Ayeyarwady","Maubin","Danubyu",771.874706346282
"MMR","Ayeyarwady","Maubin","Irrawaddy",611.216307177038
"MMR","Ayeyarwady","Maubin","Ma-Ubin",845.331731652236
"MMR","Ayeyarwady","Maubin","Pantanaw",1675.99402274743
"MMR","Ayeyarwady","Maubin","Yandoon",866.161759649459
"MMR","Ayeyarwady","Myoungmya","Einme",681.330285909843
"MMR","Ayeyarwady","Myoungmya","Labutta",2301.08171422489
"MMR","Ayeyarwady","Myoungmya","Moulmeingyun",1127.75079789472
"MMR","Ayeyarwady","Myoungmya","Myaungmya",1846.45352890072
"MMR","Ayeyarwady","Myoungmya","Wakema",1138.6428832759
"MMR","Ayeyarwady","Pharpon","Bogale",2466.10883384826
"MMR","Ayeyarwady","Pharpon","Dedaye",939.192401680709
"MMR","Ayeyarwady","Pharpon","Kyaiklat",851.074046363591
"MMR","Ayeyarwady","Pharpon","Pyapon",838.982498469969
"MMR","Bago","Pegu","Bago (Pegu)",2791.74207923094
"MMR","Bago","Pegu","Daik-U",1271.07291675253
"MMR","Bago","Pegu","Kawa",1011.20126996013
"MMR","Bago","Pegu","Kyauktaga",2903.26639974931
"MMR","Bago","Pegu","Nyaungiebin",755.833178448357
"MMR","Bago","Pegu","Shwegyin",2368.5656165878
"MMR","Bago","Pegu","Thanatpin",858.372304495286
"MMR","Bago","Pegu","Waw",1073.26158475935
"MMR","Bago","Pyay","Padaung",2185.64886205559
"MMR","Bago","Pyay","Paukkaung",1822.16235565676
"MMR","Bago","Pyay","Paungde",313.809498071914
"MMR","Bago","Pyay","Prome",866.202946775394
"MMR","Bago","Pyay","Shwedaung",809.662289821244
"MMR","Bago","Pyay","Thegon",1185.97720550925
"MMR","Bago","Taungoo","Kyaukki",2141.76886188408
"MMR","Bago","Taungoo","Oktwin",1408.20563405754
"MMR","Bago","Taungoo","Pyu",2195.21930805486
"MMR","Bago","Taungoo","Tantabin",563.064586543376
"MMR","Bago","Taungoo","Thoungoo",1942.0814483347
"MMR","Bago","Taungoo","Yedashe",2770.52729853837
"MMR","Bago","Thayarwady","Gyobingauk",993.761024725264
"MMR","Bago","Thayarwady","Letpatan",700.322899609157
"MMR","Bago","Thayarwady","Minhla",1897.67566658652
"MMR","Bago","Thayarwady","Monyo",527.537603285019
"MMR","Bago","Thayarwady","Nattalin",1100.87052147629
"MMR","Bago","Thayarwady","Okpo",1020.72517857529
